Row-names,log2FoldChange,padj
9230112E08RIK,0.46872837,0.048489706
AC097366,-0.030956465,0.952288994
AC102496,-0.641813455,0.211409498
AC102618,0.121336158,0.934984234
AC110241,-0.372048433,0.671414393
AC121795,0.448122585,0.334542946
AC122306,-0.583465086,0.525168769
AC122818,1.085133517,0.141084776
AC123956,-0.247494022,0.447110653
AC124237,-1.129146716,0.107344446
AC124739,-0.134127975,0.742942095
AC124772,-0.109795783,0.952288994
AC125141,0.250654042,0.700770636
AC126457,-0.628350549,0.225937097
AC127242,1.581801467,6.13E-07
AC129214,0.225919941,0.563876055
AC129328,0.785917656,1.10E-07
AC134468,0.495044411,0.103506871
AC135964,0.409467517,0.673442495
AC141429,0.308976172,0.694456225
AC144860,-0.940411143,6.24E-05
AC154306,0.14564202,0.821025938
AC154381,0.102344583,0.885121373
AC154507,-0.462494309,0.708363501
AC154685,0.551592822,0.6235423
AC154721,-4.229825613,0.016755962
AC154753,-3.876381442,0.025291797
AC156023,-1.780965825,0.016257184
AC160759,0.249667652,0.643234344
AC161376,-0.059986238,0.94666206
AC161530,-0.515810096,0.30773668
AC163101,0.14226341,0.81932427
AC163633,-0.304655424,0.381201332
AC163634,1.202602695,0.062509885
AC163635,0.136202838,0.871507529
AC163720,0.157283376,0.539036202
AC164424,0.157713711,0.427160121
AC165153,0.120205673,0.878315536
AC165157,-0.885989435,0.155896814
AC166341,0.365734975,0.881693954
AC167192,0.393588185,0.125657175
AC167229,2.418669017,0.004448394
AC169509,-0.453810328,0.618795307
AC173344,2.144956092,5.76E-21
AC183095,0.087458736,0.702615909
AC238676,-1.311443417,1.80E-10
AC242683,0.220854761,0.281358192
ACAP2,0.137420572,0.206158619
AFDN,-0.39817275,8.74E-08
AI413582,0.512387414,0.098273508
AI606181,-0.986805308,4.96E-06
ALG3,-0.483609943,0.00550295
ANAPC2,0.211570194,0.044348564
ANKS1,0.446400021,0.000159114
AP2M1,0.788122179,4.53E-17
AP3S1,0.017988085,0.939175364
APOBEC3,0.295824787,0.065132847
ARHGEF33,2.55532456,5.81E-05
ARHGEF39,-0.092186467,0.619299269
ASAP2,0.5105402,3.72E-06
ATF4,-0.088881576,0.652715536
AU041133,-0.869304525,0.002111059
AV026068,0.60681665,0.610644068
AXIN1,-0.036310044,0.778466057
BC024063,-0.149135303,0.451830078
BDH1,1.887326368,2.38E-19
BIRC6,0.090829582,0.493284518
BRPF3,0.855363795,2.21E-11
BRWD1,1.307403005,1.84E-82
BTG3,0.135851977,0.590021048
CABLES1,-0.527586529,0.002654654
CBX6,0.306381836,0.01273915
CBX7,-0.694192898,4.82E-10
CCDC107,1.130316281,7.69E-07
CCDC167,-0.580993977,0.000144834
CEP97,-0.513618783,2.82E-05
CFAP298,0.488429674,0.001865117
CHAF1B,0.185974534,0.072893231
CLCN2,0.316304693,0.000993159
CLDND1,0.419842651,0.004108022
CREB3,-0.238901385,0.311601615
CRKL,0.042632313,0.694182642
CT009715,0.206033556,0.722745063
CT010467,0.836558551,3.34E-06
CT010569,0.814748337,0.109510887
CT030715,0.629136868,0.556490391
CT486005,-0.491146895,0.524079271
CTGF,-0.449752543,0.084570236
CXADR,-0.30340048,0.080973145
CYP4F13,0.666930255,7.55E-05
CYP4F15,-4.509361503,0.012268027
CYR61,1.763326988,5.33E-18
DCAF11,-0.168092655,0.14419134
DDX11,0.248080873,0.015339288
DEF6,0.588600925,9.22E-06
DLG1,0.358996163,7.10E-06
DLGAP1,0.419122105,0.431084904
DNAH11,-3.60959447,4.02E-05
DOP1B,0.016532293,0.914782635
DVL3,0.5659965,1.62E-10
DYNLT1A,0.199847094,0.094868434
DYRK1A,0.41120037,2.17E-08
EAF2,1.272192124,0.010688202
ECE2,0.446958765,0.029107837
EEF1AKMT4,-0.511184943,0.003998924
EFHB,1.860612886,9.34E-12
EIF4G1,-0.099769587,0.365974939
ENSMUSG00000000001,-0.16073414,0.039638515
ENSMUSG00000000028,-0.042322083,0.753927452
ENSMUSG00000000031,-8.618393907,2.92E-37
ENSMUSG00000000037,0.849406147,0.162990588
ENSMUSG00000000056,-1.917028712,1.77E-17
ENSMUSG00000000078,-0.481710884,0.01195691
ENSMUSG00000000085,0.434018817,4.32E-05
ENSMUSG00000000088,1.234660401,2.07E-24
ENSMUSG00000000093,2.386341192,3.91E-08
ENSMUSG00000000094,0.174888532,0.628508164
ENSMUSG00000000103,-2.263852648,0.118252775
ENSMUSG00000000120,1.037631619,1.41E-05
ENSMUSG00000000125,-2.934642137,1.18E-05
ENSMUSG00000000126,-0.732922673,0.106809871
ENSMUSG00000000127,0.018572266,0.900383804
ENSMUSG00000000131,0.076699664,0.314513369
ENSMUSG00000000134,-0.501143516,0.00026459
ENSMUSG00000000142,-0.172717969,0.585853562
