Name	Ensembl_ID	Ratio	Log2_ratio	P_value	Q_value
UBE2Q1	ENSG00000160714	1.51028277635	0.594818696466	1.043589e-10	7.365144e-11
RNF14	ENSG00000013561	0.804281345566	-0.314227836206	0.003091978	0.001321037
UBE2Q2	ENSG00000140367	1.43601895735	0.522074794766	1.825893e-06	1.015009e-06
RNF10	ENSG00000022840	0.771604938272	-0.374065718223	7.649793e-06	4.076017e-06
RNF13	ENSG00000082996	1.41860465116	0.504472582861	0.003780223	0.001603232
MZT2A	ENSG00000173272	0.753221010902	-0.408854850775	0.0002925492	0.0001383489
MZT2B	ENSG00000152082	0.737553779963	-0.439179845177	1.908575e-05	9.857422e-06
PMM2	ENSG00000140650	0.566422795533	-0.820048767424	3.703259e-17	3.451557e-17
PMM1	ENSG00000100417	0.66144200627	-0.596313425058	0.0001884171	9.051849e-05
ASS1	ENSG00000130707	0.129456807849	-2.9494572595	2.81911e-168	2.323018e-167
ZNF708	ENSG00000182141	0.474418604651	-1.07576750762	1.836554e-12	1.413269e-12
ZNF879	ENSG00000234284	0.00671140939597	-7.21916852046	1.522129e-38	2.579621e-38
ZNF703	ENSG00000183779	4.86206896552	2.28157035727	1.08997e-91	4.332811e-91
ZNF707	ENSG00000181135	3.48333333333	1.80046853647	6.93178e-53	1.558726e-52
ZNF706	ENSG00000120963	1.86223055295	0.897031696425	1.78846e-18	1.743281e-18
RNF114	ENSG00000124226	1.5592020592	0.640807901044	5.359092e-13	4.226576e-13
RNF115	ENSG00000121848	1.87376237624	0.905938007234	4.058981e-17	3.776869e-17
ZC3H15	ENSG00000065548	1.3624208304	0.446172398032	7.852704e-07	4.472387e-07
ZC3H14	ENSG00000100722	0.769969278034	-0.377127211823	7.036467e-05	3.497415e-05
ZC3H18	ENSG00000158545	0.845061116617	-0.242872410946	0.008544363	0.003459549
DHX8	ENSG00000067596	0.828477636438	-0.271465340392	0.004391713	0.001844873
NSRP1	ENSG00000126653	0.62125984252	-0.686731291646	3.876001e-10	2.661243e-10
XPC	ENSG00000154767	0.567226890756	-0.818002166257	1.436469e-15	1.260501e-15
GRINA	ENSG00000178719	0.593274619696	-0.753228029302	1.144823e-14	9.692838e-15
SP6	ENSG00000189120	2.3085106383	1.20696238077	5.987287e-15	5.119539e-15
SPPL3	ENSG00000157837	1.41789667897	0.503752408337	1.349055e-06	7.569707e-07
GOLIM4	ENSG00000173905	1.96022727273	0.971020933028	1.89804e-21	2.053646e-21
OPA1	ENSG00000198836	1.71792035398	0.780663151972	2.93988e-19	2.94988e-19
RAB40C	ENSG00000197562	0.267937219731	-1.90003309194	1.085534e-62	2.920164e-62
RAB40B	ENSG00000141542	0.638850889193	-0.646448856243	2.097902e-07	1.236807e-07
GTSE1	ENSG00000075218	0.656899307405	-0.606255850428	2.129532e-09	1.408671e-09
SPPL2A	ENSG00000138600	0.536585365854	-0.898120385981	3.592206e-15	3.096054e-15
NSL1	ENSG00000117697	0.773033707865	-0.371396771152	0.0004682783	0.0002180254
UGCG	ENSG00000148154	3.4089456869	1.76932561389	5.5993e-60	1.432721e-59
ATP2A2	ENSG00000174437	1.89529293049	0.922420844021	2.807654e-33	4.232072e-33
ITGA1	ENSG00000213949	7.45652173913	2.89850281012	2.611384e-147	1.813783e-146
ITGA2	ENSG00000164171	23.4928229665	4.55414817712	2.244045e-308	5.070781e-307
ITGA3	ENSG00000005884	114.414285714	6.83812338737	0	0
ITGA5	ENSG00000161638	1.74333333333	0.801848445751	8.136089e-09	5.21571e-09
ITGA6	ENSG00000091409	8.50284090909	3.08794494486	6.547115e-159	5.005575e-158
DENND4A	ENSG00000174485	0.695906432749	-0.523034751578	9.982151e-06	5.266329e-06
DENND4B	ENSG00000198837	1.85067873303	0.88805447355	2.256079e-19	2.270924e-19
DENND4C	ENSG00000137145	0.499233128834	-1.00221442107	3.582335e-19	3.581797e-19
SWAP70	ENSG00000133789	5.56617647059	2.47668664874	5.841065e-87	2.201434e-86
PHLDA1	ENSG00000139289	19.6317991632	4.29512049005	1.447555e-284	2.766809e-283
PHLDA3	ENSG00000174307	1.65171688858	0.723966423774	1.725773e-13	1.390088e-13
PHLDA2	ENSG00000181649	5.27366863905	2.39880692505	5.789435e-117	3.101671e-116
ZNF37BP	ENSG00000234420	1.22222222222	0.289506617195	0.08609884	0.03020402
GTF2H2B	ENSG00000226259	0.15306122449	-2.70781924851	1.719845e-14	1.446262e-14
FBXL12	ENSG00000127452	1.45694200351	0.542943449189	5.534544e-06	2.973327e-06
TIPRL	ENSG00000143155	1.44587008821	0.531937931603	1.585218e-07	9.438605e-08
FBXL17	ENSG00000145743	0.110886075949	-3.17284987835	6.107464e-250	9.206722e-249
HRH1	ENSG00000196639	66.125	6.04712391211	3.137446e-170	2.627927e-169
FBXL19	ENSG00000099364	1.88091603053	0.91143544427	5.415644e-16	4.831446e-16
FBXL18	ENSG00000155034	1.77076761304	0.824374892206	3.763795e-15	3.241745e-15
GHDC	ENSG00000167925	0	-20	5.196677e-132	3.210344e-131
TPRN	ENSG00000176058	0.265125764786	-1.91525121751	2.012808e-58	5.041177e-58
THSD4	ENSG00000187720	19	4.24792751344	1.886585e-199	1.888158e-198
COL4A5	ENSG00000188153	0.578380534503	-0.789909095932	6.276714e-16	5.589822e-16
COL4A2	ENSG00000134871	89.6428571429	6.48611672678	0	0
COL4A1	ENSG00000187498	179.761904762	7.48994350632	0	0
GRN	ENSG00000030582	4.61588641596	2.20660772374	7.30788e-139	4.739156e-138
CHST3	ENSG00000122863	7.07096774194	2.82190767769	1.570992e-123	8.964417e-123
CHST2	ENSG00000175040	53.6666666667	5.74595437739	4.714314e-69	1.396776e-68
CHST7	ENSG00000147119	16.6875	4.06069593169	4.560286e-48	9.47123e-48
HLX	ENSG00000136630	16.0625	4.00562454919	4.07546e-46	8.151297e-46
HLCS	ENSG00000159267	0.790647482014	-0.338893496662	0.001264868	0.0005612085
NOG	ENSG00000183691	0	20	1.128865e-30	1.585474e-30
NOV	ENSG00000136999	0	20	3.286801e-51	7.227886e-51
FAM134C	ENSG00000141699	0.376401179941	-1.40965694426	1.051347e-37	1.751407e-37
ZNF701	ENSG00000167562	0.771739130435	-0.373814836552	0.02295226	0.008818462
SMAD9	ENSG00000120693	0.0413385826772	-4.59636726399	1.221305e-139	7.960775e-139
LRPAP1	ENSG00000163956	0.471264367816	-1.08539149123	1.480936e-34	2.296258e-34
SMAD7	ENSG00000101665	0.537473233405	-0.895735185759	7.538091e-10	5.093081e-10
GOLPH3L	ENSG00000143457	0.629320619785	-0.668132881081	1.188051e-10	8.361475e-11
SMAD1	ENSG00000170365	0.606965174129	-0.720314353616	1.507036e-06	8.420842e-07
MUS81	ENSG00000172732	1.6095890411	0.686692387685	1.617323e-10	1.131533e-10
AMMECR1L	ENSG00000144233	1.80410607357	0.851284165262	3.281974e-17	3.06396e-17
CYFIP1	ENSG00000068793	1.44804816469	0.534109589857	2.698947e-10	1.864667e-10
IGF2R	ENSG00000197081	0.203973509934	-2.29354629352	5.962862e-171	5.03598e-170
ABHD14B	ENSG00000114779	0.603773584906	-0.727920454563	0.0005913423	0.0002725522
ERICH1	ENSG00000104714	0.485207100592	-1.04332743166	1.905079e-18	1.853755e-18
HERC2P3	ENSG00000180229	2.08839779006	1.06239653714	2.477631e-11	1.802899e-11
HERC2P2	ENSG00000140181	1.69077306733	0.757683036681	3.672356e-09	2.398038e-09
HERC2P9	ENSG00000206149	1.26811594203	0.342686655054	0.07974435	0.0281379
TCEA2	ENSG00000171703	0.561674008811	-0.832195050432	3.921302e-12	2.976534e-12
TCEA3	ENSG00000204219	14.7	3.87774424995	2.902241e-68	8.499815e-68
TCEA1	ENSG00000187735	0.429824561404	-1.21818017005	3.790443e-26	4.698076e-26
ABCD1	ENSG00000101986	0.513844757149	-0.960595536869	1.787292e-21	1.935466e-21
COX4I1	ENSG00000131143	0.617403314917	-0.6957148659	4.411198e-17	4.103105e-17
BFAR	ENSG00000103429	1.52208047105	0.60604463487	7.358932e-09	4.730031e-09
EDA	ENSG00000158813	0.0151975683891	-6.04001567885	2.494064e-224	3.026351e-223
LAPTM4B	ENSG00000104341	4.97755775578	2.31543805597	2.424101e-136	1.544449e-135
CCDC117	ENSG00000159873	0.223977318753	-2.15857545091	3.926417e-87	1.486436e-86
RLF	ENSG00000117000	1.63051702396	0.705329504106	1.170313e-10	8.242344e-11
CCDC112	ENSG00000164221	0.80303030303	-0.316473664795	0.0134267	0.005336773
MCF2L	ENSG00000126217	0.0350765306122	-4.83335013059	9.924877e-189	9.258791e-188
CCDC111	ENSG00000164306	0.35119047619	-1.50967437342	3.40451e-27	4.350171e-27
LEO1	ENSG00000166477	0.315145813735	-1.66590859619	2.531098e-40	4.497972e-40
ATP1A3	ENSG00000105409	13.4603174603	3.75064053106	4.872259e-104	2.278907e-103
MGRN1	ENSG00000102858	0.537348371994	-0.896070379875	3.198413e-23	3.64036e-23
CRTAP	ENSG00000170275	2.79331848552	1.48198007462	1.229939e-60	3.20682e-60
SPHK2	ENSG00000063176	0.466527196653	-1.09996690806	1.349776e-19	1.370597e-19
SPHK1	ENSG00000176170	59.2608695652	5.88900789075	0	0
CUEDC1	ENSG00000180891	4.1897810219	2.06687484372	2.476287e-58	6.189787e-58
CUEDC2	ENSG00000107874	0.213978494624	-2.22446228545	1.587768e-95	6.666052e-95
IPO13	ENSG00000117408	0.589806570464	-0.76168620073	4.966391e-16	4.435325e-16
SRBD1	ENSG00000068784	1.36890243902	0.453019630123	9.874266e-05	4.849604e-05
ABAT	ENSG00000183044	0.0124812780829	-6.32409051604	1.811701e-257	2.869506e-256
ZNF780A	ENSG00000197782	0.349514563107	-1.51657552574	8.523033e-36	1.363963e-35
ZNF780B	ENSG00000128000	0.440223463687	-1.1836920527	2.020211e-21	2.184439e-21
RHEBL1	ENSG00000167550	5.36	2.42223300068	1.266782e-16	1.156512e-16
ZNF41	ENSG00000147124	1.2863340564	0.363265354117	0.004708854	0.001970771
GUSBP9	ENSG00000215630	0.141304347826	-2.82312223792	2.476077e-14	2.068851e-14
IFT88	ENSG00000032742	0.479318734793	-1.06094276423	3.277299e-17	3.060158e-17
DEPDC1	ENSG00000024526	0.563163481953	-0.828374308698	7.484058e-16	6.638296e-16
XPA	ENSG00000136936	0.459016393443	-1.12338241551	7.895435e-18	7.524321e-18
MCM10	ENSG00000065328	0.722388059701	-0.469154048071	2.268303e-06	1.254087e-06
SP4	ENSG00000105866	0.596590909091	-0.745186100971	6.437051e-08	3.921338e-08
IL10RB	ENSG00000243646	1.24911032028	0.320900900084	0.03297773	0.01237118
ATG4A	ENSG00000101844	0.780564263323	-0.357410681697	0.02190079	0.008458583
THUMPD2	ENSG00000138050	2.12962962963	1.09060254878	3.106761e-13	2.478893e-13
C9orf103	ENSG00000148057	0.353503184713	-1.50020488254	7.796957e-17	7.176243e-17
GPT2	ENSG00000166123	0.188099808061	-2.41042971816	5.104173e-139	3.318519e-138
ANKFY1	ENSG00000185722	0.843152657764	-0.246134231621	0.00607963	0.002516508
TOR2A	ENSG00000160404	0.409259259259	-1.28891303766	8.404487e-19	8.301999e-19
LHPP	ENSG00000107902	0.258278145695	-1.95300252046	2.64027e-31	3.77921e-31
CDKAL1	ENSG00000145996	1.37723214286	0.461771757092	0.0003154008	0.000148782
ATP6V0E2	ENSG00000171130	0.162291169451	-2.62334359245	1.521436e-68	4.471293e-68
AAAS	ENSG00000094914	0.631602506714	-0.662911197886	1.873564e-11	1.372175e-11
SIDT1	ENSG00000072858	43.0526315789	5.4280295195	1.341766e-262	2.20772e-261
SIDT2	ENSG00000149577	0.451983298539	-1.14565863101	9.210563e-28	1.197358e-27
CDH24	ENSG00000139880	1.83828382838	0.878359533867	1.733571e-10	1.210864e-10
SIX4	ENSG00000100625	3.54792332268	1.82697483061	3.781626e-64	1.038158e-63
SIX1	ENSG00000126778	11.275	3.49505552837	1.186504e-100	5.324332e-100
SIX2	ENSG00000170577	92	6.52356195606	2.553932e-96	1.085685e-95
CNPY3	ENSG00000137161	0.763525835866	-0.389251119731	0.0001397689	6.790397e-05
CNPY2	ENSG00000257727	0.65306122449	-0.614709844115	0.001360756	0.0006020192
HMG20A	ENSG00000140382	4.1	2.03562390973	1.393705e-26	1.750908e-26
HMG20B	ENSG00000064961	0.286307669485	-1.80436177775	5.112185e-87	1.932458e-86
AAGAB	ENSG00000103591	0.502320599786	-0.993319654838	1.883388e-24	2.214521e-24
FBXO6	ENSG00000116663	2.00574712644	1.00413973036	6.348412e-10	4.309322e-10
C3orf78	ENSG00000168273	0.57311827957	-0.803095183236	1.431094e-11	1.057869e-11
C4orf14	ENSG00000084092	0.629254829807	-0.668283710141	1.606958e-11	1.183222e-11
C3orf75	ENSG00000163832	0.76393442623	-0.388479287796	0.0001077418	5.273243e-05
C4orf10	ENSG00000249673	0.485568760611	-1.04225248705	3.912481e-14	3.238153e-14
C3orf71	ENSG00000221883	0.134831460674	-2.89077093025	2.897385e-14	2.411753e-14
ZFP82	ENSG00000181007	0.354022988506	-1.49808505004	9.152713e-21	9.666504e-21
CHFR	ENSG00000072609	1.37388193202	0.458258027878	0.0001511621	7.31389e-05
EFHA1	ENSG00000165487	0.517514124294	-0.950329856873	1.278717e-19	1.29922e-19
EFHA2	ENSG00000155970	0.241534988713	-2.04969590215	5.56075e-33	8.327588e-33
SYPL1	ENSG00000008282	1.52517385257	0.60897370297	3.377697e-12	2.57004e-12
NBEAP1	ENSG00000258590	0.00387596899225	-8.01122725542	5.161798e-111	2.593261e-110
HOXB13-AS1	ENSG00000229637	0.664259927798	-0.590180209992	0.0004364723	0.0002035711
RFX5	ENSG00000143390	0.359565217391	-1.47567462666	1.530392e-45	3.024047e-45
RFX7	ENSG00000181827	0.503457814661	-0.990057196752	1.49925e-19	1.519645e-19
RFX1	ENSG00000132005	1.46858168761	0.554423515602	3.844936e-06	2.092097e-06
RFX3	ENSG00000080298	0.291196388262	-1.77993563313	4.757951e-27	6.047637e-27
YDJC	ENSG00000161179	0.849572649573	-0.235190772908	0.02965267	0.01124748
IBA57	ENSG00000181873	0.731466227348	-0.451136839906	3.3806e-05	1.718777e-05
TMEM179B	ENSG00000185475	0.422077922078	-1.24441872767	2.925653e-16	2.634091e-16
ABCE1	ENSG00000164163	1.58696988322	0.666274749635	5.130924e-12	3.869875e-12
UQCRC2	ENSG00000140740	0.408895121707	-1.29019724389	6.921065e-52	1.539297e-51
XPNPEP1	ENSG00000108039	0.529519730805	-0.917243652401	3.497269e-22	3.863742e-22
UQCRC1	ENSG00000010256	1.39869281046	0.484079143708	1.525066e-09	1.017025e-09
SLC4A2	ENSG00000164889	2.02854695975	1.02044670053	6.741564e-32	9.793057e-32
KHDRBS3	ENSG00000131773	3.49816849817	1.806599782	2.502812e-43	4.741016e-43
GGCT	ENSG00000006625	0.367720786734	-1.44331736254	2.127715e-55	5.022193e-55
MSL3P1	ENSG00000224287	0.5	-1	1.049323e-15	9.246111e-16
C11orf2	ENSG00000149823	0.617001401214	-0.696654329139	1.242798e-14	1.050836e-14
DPYSL4	ENSG00000151640	2.11479028698	1.08051460569	4.760941e-19	4.740648e-19
DPYSL2	ENSG00000092964	2.11832061069	1.0829209597	5.513838e-24	6.395996e-24
DPYSL3	ENSG00000113657	23.06	4.52732060788	1.821866e-265	3.087599e-264
IGFBP2	ENSG00000115457	0.0496183206107	-4.3329832834	2.121465e-187	1.968253e-186
IGFBP3	ENSG00000146674	3.32176656151	1.73195069089	1.177033e-42	2.197691e-42
IGFBP6	ENSG00000167779	771.333333333	9.59121064839	8.2331430246968e-316	2.00283399999756e-314
IGFBP4	ENSG00000141753	1253.06976744	10.2912510268	0	0
IGFBP5	ENSG00000115461	529.5625	9.04865715373	0	0
SKP2	ENSG00000145604	1.51644736842	0.600695426986	8.291375e-10	5.588666e-10
