"County","Province_State","X10.30.21","X10.31.21","X11.1.21","X11.2.21","X11.3.21","county_total"
"Prince George's","Maryland",99788,99845,99885,99949,100025,499492
"Montgomery","Maryland",82473,82532,82575,82633,82696,412909
"Baltimore","Maryland",76812,76888,76944,77022,77120,384786
"Baltimore City","Maryland",61643,61734,61780,61804,61878,308839
"Anne Arundel","Maryland",53110,53160,53199,53246,53317,266032
"Frederick","Maryland",24314,24347,24371,24395,24440,121867
"Howard","Maryland",22685,22704,22717,22722,22739,113567
"Harford","Maryland",20784,20818,20855,20875,20912,104244
"Washington","Maryland",19714,19763,19782,19792,19871,98922
"Charles","Maryland",14520,14531,14543,14550,14569,72713
"Carroll","Maryland",11810,11837,11852,11872,11885,59256
"Wicomico","Maryland",11129,11146,11160,11168,11183,55786
"St. Mary's","Maryland",9970,9990,10003,10017,10039,50019
"Allegany","Maryland",9799,9804,9807,9854,9863,49127
"Cecil","Maryland",8875,8894,8908,8914,8926,44517
"Calvert","Maryland",5713,5721,5730,5736,5748,28648
"Worcester","Maryland",5024,5025,5028,5033,5037,25147
"Dorchester","Maryland",4158,4165,4170,4172,4174,20839
"Queen Anne's","Maryland",3900,3907,3912,3918,3923,19560
"Somerset","Maryland",3351,3357,3364,3369,3374,16815
"Garrett","Maryland",3246,3271,3287,3296,3305,16405
"Caroline","Maryland",3221,3231,3236,3244,3246,16178
"Talbot","Maryland",2861,2864,2873,2882,2887,14367
"Kent","Maryland",1734,1736,1737,1737,1739,8683
"Out of MD","Maryland",0,0,0,0,0,0
"Unassigned","Maryland",0,0,0,0,0,0
